"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"U36","SO-8N","293.834mm","179.817mm","291.084mm","181.737mm","291.084mm","181.737mm","T","0.00","AD4522-1"
"U37","RM-10","304.075mm","179.848mm","301.625mm","180.848mm","301.625mm","180.848mm","T","360.00","AD7791"
"U38","SO-8N","280.118mm","248.397mm","277.368mm","250.317mm","277.368mm","250.317mm","T","0.00","ADA4522-2"
"U39","SO-8N","293.834mm","247.762mm","291.084mm","249.682mm","291.084mm","249.682mm","T","0.00","AD4522-1"
"U40","RM-10","304.075mm","247.285mm","301.625mm","248.285mm","301.625mm","248.285mm","T","360.00","AD7791"
"U41","SO-8N","280.118mm","228.458mm","277.368mm","230.378mm","277.368mm","230.378mm","T","0.00","ADA4522-2"
"U42","SO-8N","293.834mm","227.061mm","291.084mm","228.981mm","291.084mm","228.981mm","T","0.00","AD4522-1"
"U43","RM-10","304.051mm","226.433mm","301.601mm","227.433mm","301.601mm","227.433mm","T","360.00","AD7791"
"Q14","SOT-23","270.8865mm","165.9955mm","268.8474mm","163.83mm","271.9025mm","165.043mm","T","90.00","NUD3112"
"Q15","SOT-23","271.5331mm","182.8865mm","269.494mm","180.721mm","272.5491mm","181.934mm","T","90.00","NUD3112"
"Q16","SOT-23","271.5331mm","250.8315mm","269.494mm","248.666mm","272.5491mm","249.879mm","T","90.00","NUD3112"
"Q17","SOT-23","271.2791mm","230.5115mm","269.24mm","228.346mm","272.2951mm","229.559mm","T","90.00","NUD3112"
"LED","HDR1X3","188.468mm","286.512mm","188.468mm","289.052mm","188.468mm","289.052mm","T","270.00","Header 3"
"K18","AXICOM_IM06","196.7697mm","193.1582mm","196.596mm","192.532mm","199.7698mm","189.3582mm","T","90.00","AXICOM IM"
"K19","AXICOM_IM06","196.7697mm","233.2902mm","196.596mm","232.664mm","199.7698mm","229.4902mm","T","90.00","AXICOM IM"
"K20","AXICOM_IM06","196.7697mm","273.2952mm","196.596mm","272.669mm","199.7698mm","269.4952mm","T","90.00","AXICOM IM"
"Q18","SOT-23","193.8085mm","184.6509mm","191.643mm","186.69mm","192.856mm","183.6349mm","T","0.00","NUD3112"
"Q19","SOT-23","193.8085mm","224.7829mm","191.643mm","226.822mm","192.856mm","223.7669mm","T","0.00","NUD3112"
"Q20","SOT-23","193.8085mm","264.7879mm","191.643mm","266.827mm","192.856mm","263.7719mm","T","0.00","NUD3112"
"R92","0603","262.655mm","146.717mm","262.763mm","145.161mm","262.655mm","147.517mm","T","180.00","NULL"
"R93","0603","262.636mm","143.04mm","262.744mm","141.484mm","262.636mm","143.84mm","T","180.00","NULL"
"R94","0603","260.623mm","146.717mm","260.731mm","145.161mm","260.623mm","147.517mm","T","180.00","0R"
"R95","0603","260.604mm","143.04mm","260.712mm","141.484mm","260.604mm","143.84mm","T","180.00","0R"
"R96","0603","265.45mm","145.561mm","267.006mm","145.669mm","264.65mm","145.561mm","T","270.00","0R"
"R97","0603","265.462mm","147.555mm","263.906mm","147.447mm","266.262mm","147.555mm","T","90.00","NULL"
"R9","0603","246.92mm","153.524mm","245.364mm","153.416mm","247.72mm","153.524mm","T","90.00","1K"

